Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Date_new,month,Day_Perc_Change,Trend
HDFCBANK,EQ,21-Sep-2018,1961.35,1973.9,1999.85,1910.2,       1976.00,1970.25,1972.83,5652537,11151516852.75,159768,3618031,64.01,2018-09-21,Sep-2018,0.45376908761822765,Slight or No Change
HDFCBANK,EQ,24-Sep-2018,1970.25,1967.25,1972.2,1915.0,       1922.00,1925.7,1944.39,3347698,6509244678.95,144878,2192667,65.5,2018-09-24,Sep-2018,-2.261134373810425,Negative
HDFCBANK,EQ,25-Sep-2018,1925.7,1925.7,1962.0,1915.0,       1961.70,1952.4,1936.01,4170638,8074408156.7,125022,2492934,59.77,2018-09-25,Sep-2018,1.3865088019940908,Positve
HDFCBANK,EQ,26-Sep-2018,1952.4,1962.95,1978.0,1955.3,       1966.05,1968.2,1966.04,3681681,7238341782.8,145107,2807141,76.25,2018-09-26,Sep-2018,0.8092603974595436,Slight Positive
HDFCBANK,EQ,27-Sep-2018,1968.2,1969.4,1986.0,1955.15,       1978.10,1976.15,1972.52,4588052,9050041001.9,116913,3341974,72.84,2018-09-27,Sep-2018,0.4039223656132629,Slight or No Change
HDFCBANK,EQ,28-Sep-2018,1976.15,1980.65,2015.45,1977.15,       2008.50,2006.05,2002.53,3615179,7239503402.4,106240,2096118,57.98,2018-09-28,Sep-2018,1.513043038230899,Positve
HDFCBANK,EQ,01-Oct-2018,2006.05,2009.8,2042.0,1997.8,       2039.90,2035.45,2020.89,3112397,6289802723.6,137110,2063063,66.29,2018-10-01,Oct-2018,1.4655666608509366,Positve
HDFCBANK,EQ,03-Oct-2018,2035.45,2030.45,2052.2,2007.0,       2031.00,2031.15,2030.01,3833037,7781099199.75,186478,2644623,69.0,2018-10-03,Oct-2018,-0.21125549632758922,Slight or No Change
HDFCBANK,EQ,04-Oct-2018,2031.15,2008.0,2017.8,1943.0,       1945.00,1957.75,1977.74,4492646,8885267601.6,153828,2558885,56.96,2018-10-04,Oct-2018,-3.613716367575026,Among Top Losers
HDFCBANK,EQ,05-Oct-2018,1957.75,1953.95,1990.0,1940.15,       1950.00,1965.3,1969.01,3932295,7742732615.35,128211,2248905,57.19,2018-10-05,Oct-2018,0.3856467884050474,Slight or No Change
HDFCBANK,EQ,08-Oct-2018,1965.3,1965.0,1969.0,1930.0,       1940.00,1945.0,1952.44,5032005,9824668679.65,169225,3483442,69.23,2018-10-08,Oct-2018,-1.0329211825166662,Negative
HDFCBANK,EQ,09-Oct-2018,1945.0,1944.4,1965.0,1930.0,       1945.95,1940.6,1944.92,3114841,6058129369.35,88603,1953889,62.73,2018-10-09,Oct-2018,-0.22622107969152427,Slight or No Change
HDFCBANK,EQ,10-Oct-2018,1940.6,1945.0,1982.25,1935.5,       1968.40,1967.15,1963.16,3984983,7823155390.1,117923,2403363,60.31,2018-10-10,Oct-2018,1.368133566938079,Positve
HDFCBANK,EQ,11-Oct-2018,1967.15,1925.0,1948.3,1917.6,       1941.00,1937.55,1931.15,3589976,6932797361.65,129986,2331832,64.95,2018-10-11,Oct-2018,-1.504714942937757,Negative
HDFCBANK,EQ,12-Oct-2018,1937.55,1945.0,1997.1,1942.0,       1977.00,1981.85,1981.23,2400080,4755112135.3,93778,1539425,64.14,2018-10-12,Oct-2018,2.286392609222987,Positve
HDFCBANK,EQ,15-Oct-2018,1981.85,1990.0,2010.8,1970.3,       2009.70,2008.05,1994.75,3146492,6276455268.6,109332,2245706,71.37,2018-10-15,Oct-2018,1.3219971238993988,Positve
HDFCBANK,EQ,16-Oct-2018,2008.05,2003.0,2018.2,1987.5,       1989.60,1992.75,2002.38,2351501,4708609015.6,97545,1333177,56.69,2018-10-16,Oct-2018,-0.7619332187943528,Slight Negative
HDFCBANK,EQ,17-Oct-2018,1992.75,2006.1,2013.0,1963.5,       1974.65,1974.6,1995.84,1985199,3962136753.1,67208,941791,47.44,2018-10-17,Oct-2018,-0.910801656003013,Slight Negative
HDFCBANK,EQ,19-Oct-2018,1974.6,1958.9,1980.85,1958.0,       1970.00,1967.75,1968.79,2466837,4856687587.7,126597,1527531,61.92,2018-10-19,Oct-2018,-0.34690570242074115,Slight or No Change
HDFCBANK,EQ,22-Oct-2018,1967.75,2014.0,2020.0,1988.6,       1998.30,1998.9,2000.42,5082790,10167706188.25,218564,2846739,56.01,2018-10-22,Oct-2018,1.583026299072543,Positve
HDFCBANK,EQ,23-Oct-2018,1998.9,1973.0,1998.9,1973.0,       1985.00,1984.85,1987.49,4857141,9653520390.95,199917,3793841,78.11,2018-10-23,Oct-2018,-0.7028865876231971,Slight Negative
HDFCBANK,EQ,24-Oct-2018,1984.85,2004.0,2008.8,1972.6,       1992.00,1992.25,1990.39,4518084,8992731522.5,197249,3218397,71.23,2018-10-24,Oct-2018,0.3728241428823331,Slight or No Change
HDFCBANK,EQ,25-Oct-2018,1992.25,1973.6,2003.6,1962.45,       1972.00,1968.8,1975.89,7461764,14743593769.15,154138,5177476,69.39,2018-10-25,Oct-2018,-1.1770611118082641,Negative
HDFCBANK,EQ,26-Oct-2018,1968.8,1968.8,1977.2,1949.0,       1961.20,1961.2,1962.89,3788928,7437246756.5,111281,2779751,73.37,2018-10-26,Oct-2018,-0.3860219422998745,Slight or No Change
HDFCBANK,EQ,29-Oct-2018,1961.2,1964.1,1964.95,1895.2,       1929.90,1926.3,1915.87,4261070,8163669616.85,134982,1911410,44.86,2018-10-29,Oct-2018,-1.7795227411788739,Negative
HDFCBANK,EQ,30-Oct-2018,1926.3,1925.0,1932.0,1899.3,       1912.00,1912.75,1917.66,3457176,6629678175.15,116901,2095481,60.61,2018-10-30,Oct-2018,-0.7034210662928864,Slight Negative
HDFCBANK,EQ,31-Oct-2018,1912.75,1902.05,1917.9,1885.0,       1906.00,1911.75,1899.44,5862351,11135167118.1,175024,4061738,69.29,2018-10-31,Oct-2018,-0.05228074761468582,Slight or No Change
HDFCBANK,EQ,01-Nov-2018,1911.75,1930.0,1930.0,1896.0,       1911.70,1912.2,1911.87,4907263,9382024998.4,156362,2847446,58.03,2018-11-01,Nov-2018,0.023538642604936655,Slight or No Change
HDFCBANK,EQ,02-Nov-2018,1912.2,1926.0,1960.0,1912.0,       1950.00,1949.45,1932.67,7523217,14539874379.75,261775,5270015,70.05,2018-11-02,Nov-2018,1.9480179897500172,Positve
HDFCBANK,EQ,05-Nov-2018,1949.45,1949.9,1959.65,1938.0,       1959.60,1956.0,1949.18,1426324,2780160953.6,81177,663132,46.49,2018-11-05,Nov-2018,0.3359922029290363,Slight or No Change
HDFCBANK,EQ,06-Nov-2018,1956.0,1955.0,1976.0,1942.95,       1948.30,1946.55,1963.84,2121397,4166089811.8,83625,958206,45.17,2018-11-06,Nov-2018,-0.4831288343558282,Slight or No Change
HDFCBANK,EQ,07-Nov-2018,1946.55,1961.0,1964.95,1950.0,       1960.00,1957.95,1957.17,239690,469113468.35,11247,130511,54.45,2018-11-07,Nov-2018,0.5856515373352966,Slight Positive
HDFCBANK,EQ,09-Nov-2018,1957.95,1958.2,1959.9,1936.3,       1943.30,1945.4,1949.37,2525405,4922945328.8,95895,1781131,70.53,2018-11-09,Nov-2018,-0.6409765315763871,Slight Negative
HDFCBANK,EQ,12-Nov-2018,1945.4,1951.5,1962.0,1917.15,       1920.85,1921.05,1935.97,1976941,3827291201.1,74961,1315900,66.56,2018-11-12,Nov-2018,-1.2516706075871409,Negative
HDFCBANK,EQ,13-Nov-2018,1921.05,1919.0,1937.7,1908.2,       1929.55,1927.75,1922.55,3337605,6416714727.7,94849,2478130,74.25,2018-11-13,Nov-2018,0.34876760105151394,Slight or No Change
HDFCBANK,EQ,14-Nov-2018,1927.75,1938.55,1960.0,1936.6,       1959.90,1957.75,1945.75,6527659,12701184438.2,130711,5161560,79.07,2018-11-14,Nov-2018,1.556218389313968,Positve
